run,pi_arch,vf_arch,pi_params,vf_params
small_128,"[128, 128]","[128, 128]",256,256
medium_256,"[256, 256]","[256, 256]",512,512
actor_heavy,"[256, 256, 128]","[256, 256]",640,512
deep_actor,"[128, 128, 128, 128]","[256, 256]",512,512
critic_heavy,"[256, 256]","[256, 256, 256]",512,768
deep_critic,"[256, 256]","[128, 128, 128, 128]",512,512
wide_critic,"[256, 256]","[512, 512]",512,1024
large_actor_small_critic,"[512, 512]","[128, 128]",1024,256
small_actor_large_critic,"[128, 128]","[512, 512]",256,1024
very_deep_both,"[128, 128, 128, 128, 128]","[128, 128, 128, 128, 128]",640,640
wide_both,"[512, 512]","[512, 512]",1024,1024
tapered_actor,"[512, 256, 128]","[256, 256]",896,512
tapered_critic,"[256, 256]","[512, 256, 128]",512,896
