Architecture,Final Reward,Max Reward,Mean Reward
very_deep_both,-0.28599120000000006,1.3877608,-12.4444681
actor_heavy,-8.355659,37.1066384,-61.175791913999994
deep_actor,-26.273001799999996,3.71417,-14.981731972
wide_critic,-38.887417400000004,48.859493799999996,-79.57130304399999
medium_256,-57.3900518,81.70070640000002,-90.35717315800001
small_128,-59.159724000000004,13.810746,-77.866278222
tapered_actor,-79.0201938,6.478766200000001,-71.307599348
small_actor_large_critic,-79.0959906,-18.775298799999998,-87.879107792
tapered_critic,-80.7212932,20.417255599999997,-88.76063807800001
large_actor_small_critic,-81.1891238,-45.485161600000005,-136.11783299400003
critic_heavy,-109.45983000000001,-53.264145000000006,-115.39862149599999
wide_both,-121.14352059999999,-16.232687199999997,-118.52707149800003
deep_critic,-137.1981276,-27.771023800000002,-109.61133739
