#{"t_start": 1766708368.2664728, "env_id": "BipedalWalker-v3"}
r,l,t
-91.9794,115,0.842936
-92.200336,117,0.898525
-91.755698,118,0.952526
-91.689809,158,1.035944
-91.670043,123,1.09104
-98.807233,163,2.659155
-112.385713,170,2.730958
-4.55277,1600,3.489827
-111.949055,136,3.54918
-98.852624,170,3.621916
-101.285602,72,3.676066
-103.973538,80,3.717657
-96.518305,100,4.356335
-111.936318,135,4.413933
-96.728037,116,4.462998
-4.595224,1600,5.243195
-112.266247,134,5.301857
-107.499973,69,5.353526
-113.432647,95,5.404652
-118.875933,99,5.464768
-113.435175,64,5.499773
-127.816098,86,6.258823
-95.437418,105,6.756535
-112.364798,166,6.828953
-95.63976,101,6.874953
-95.456483,102,6.920824
-95.20394,129,6.976029
-102.03986,73,7.024096
-99.177797,122,8.460697
-11.353532,1600,9.235828
-98.855627,153,9.310738
-99.628219,139,9.383066
-113.012956,164,9.477618
-99.386508,146,10.378179
-99.428358,158,10.492783
-99.059098,145,10.564722
-113.876429,267,10.685087
-113.478498,256,10.798509
-100.855926,73,10.842756
-111.635766,153,12.276113
-112.175087,157,12.345705
-112.123692,160,12.413084
-112.891139,123,12.504786
-111.946093,145,12.590133
-105.431154,50,12.618647
-115.998802,73,12.66371
-104.864402,68,12.701213
-98.411887,68,12.737813
-8.131038,1600,13.945481
-8.324193,1600,14.620229
-111.82155,155,14.690224
-113.02809,377,14.853711
-8.265359,1600,15.535068
-111.330437,63,16.978397
-111.501084,64,17.006478
-111.59785,65,17.034079
-111.706552,65,17.06617
-111.342945,65,17.100639
-115.598919,141,17.175288
-110.172171,62,17.210747
-105.052027,65,17.24682
-112.513531,100,18.609777
-112.526418,98,18.652443
-112.493435,98,18.695389
-112.667991,101,18.740075
-112.760495,96,18.783326
-112.605377,98,19.522741
-112.724616,97,19.562894
-112.732713,100,19.609485
-112.503334,100,19.655082
-112.754957,96,19.70063
-114.025952,90,21.13756
-114.126078,91,21.181626
-114.107539,83,21.217075
-114.161053,88,21.257084
-114.194534,89,21.298091
-114.184719,84,22.015846
-114.314758,91,22.058437
-114.091609,90,22.098452
-114.284678,92,22.138743
-114.334851,93,22.181729
-111.406733,71,22.222375
-56.536309,1600,24.352807
-56.907358,1600,25.13046
-56.902241,1600,25.875325
-49.313602,1600,26.611358
-56.805311,1600,27.348785
-103.27267,81,27.400847
-110.313976,67,27.441421
-59.057968,1600,29.672564
-59.197372,1600,30.440744
-60.069721,1600,31.130307
-59.046979,1600,31.929193
-60.643349,1600,32.648862
-60.374013,1600,34.10736
-59.110801,1600,34.843033
-59.153729,1600,35.642694
-60.800547,1600,36.438997
-59.15287,1600,37.225689
-61.854756,1600,39.375792
-60.429237,1600,40.130336
-61.619379,1600,40.856112
-62.472655,1600,41.59341
-61.640013,1600,42.311254
-165.092317,1220,42.999709
-65.058453,1600,43.794766
-61.62716,1600,44.56764
-61.260685,1600,45.289613
-64.344644,1600,45.986108
-62.471165,1600,46.697377
-110.619888,107,47.473531
-152.638864,1039,48.038694
-64.434705,1600,48.812021
-64.610757,1600,49.54477
-63.122056,1600,50.243581
-64.304287,1600,50.925541
