#{"t_start": 1766599316.844136, "env_id": "BipedalWalker-v3"}
r,l,t
-115.984094,107,0.146776
-104.872902,117,0.269529
-105.936861,60,0.319201
-116.091655,1600,1.697823
-112.719024,44,1.734829
-107.651688,86,1.805384
-129.088076,114,3.033761
-124.968279,98,3.119112
-102.414038,68,3.191427
-113.699757,55,3.241976
-121.326311,102,3.320525
-114.657737,77,3.372113
-97.989242,112,3.448638
-104.258547,58,3.48934
-112.231654,47,3.522338
-125.946574,1600,5.799923
-116.961599,73,5.852963
-115.860352,1600,7.024359
-127.018378,108,7.097966
-121.334153,69,8.17909
-108.30588,52,8.226935
-115.107604,64,8.274995
-106.191037,72,8.327606
-107.970357,69,8.382063
-112.543054,46,8.414636
-108.012069,57,8.452666
-100.711919,187,8.580247
-143.307899,383,8.855464
-130.975956,1600,11.032978
-105.983358,148,11.15598
-108.458694,63,11.209705
-110.814534,53,11.250033
-113.537996,60,11.30763
-126.085524,1600,13.427333
-126.872982,87,13.490995
-131.133169,128,13.584524
-105.653563,88,13.644658
-100.917557,53,13.683073
-100.724521,53,13.721579
-103.856536,42,13.75658
-103.440518,82,13.8171
-118.402965,71,13.867522
-115.628057,57,13.910981
-102.64929,72,13.968988
-112.638466,49,14.004696
-115.10493,1600,16.180679
-114.110097,140,16.284872
-119.01866,67,16.334501
-129.412365,91,16.409845
-127.055218,83,16.468402
-108.280387,83,16.52683
-115.805053,1600,18.721818
-112.802985,61,18.770923
-104.222603,46,18.808402
-121.099702,1600,20.959801
-108.080416,1600,22.17184
-123.784447,104,23.270171
-113.661769,1600,24.45453
-96.001897,1600,26.628332
-103.458782,59,26.673971
-105.28582,49,26.712321
-92.317123,1600,28.926382
-121.355028,88,28.987381
-121.535669,100,29.059082
-93.06635,1600,31.209176
-142.721391,166,31.336372
-125.731167,151,31.440684
-112.81939,57,31.484618
-118.770613,149,31.587337
-116.198479,95,31.653885
-118.738454,94,31.726906
-98.169282,101,31.807086
-145.632107,256,32.025999
-114.374268,62,32.068025
-112.191005,92,32.12963
-139.002447,257,33.389153
-149.013411,270,33.568801
-118.837717,118,33.653948
-115.769517,61,33.700526
-115.513526,75,33.754687
-89.258075,1600,35.915127
-120.757484,1600,37.068995
-112.717834,74,37.124235
-125.795724,101,37.21952
-115.579235,97,37.288581
-112.728304,138,38.377543
-113.168483,1600,39.518856
-114.853696,1600,41.633244
-124.321336,90,41.700907
-111.453927,1600,43.892343
-116.359731,63,43.935656
-118.128043,63,43.97666
-111.375298,1600,46.102496
-111.341669,1600,48.227303
-98.424256,1600,49.374802
-120.056154,107,49.45034
-103.14198,1600,51.623749
-85.570652,1600,53.792076
-94.254327,1600,55.909872
-122.874578,69,55.956959
-90.375476,1600,58.089785
-87.687473,1600,59.216132
-78.479198,1600,61.415327
-75.204243,1600,63.631212
-114.341044,89,63.692416
-84.832619,1600,65.843206
-67.030541,1600,67.992646
-74.299127,1600,69.098337
-112.179505,73,69.14641
-60.286817,1600,71.3607
-56.300164,1600,73.598277
-55.752361,1600,75.721529
-31.365447,1600,76.872626
-74.400075,1600,78.978529
-42.45816,1600,81.113695
-37.206133,1600,83.237842
-107.033765,64,83.290507
-59.482782,1600,85.498108
-25.425497,1600,86.61873
-15.599047,1600,88.804734
-12.534652,1600,90.994508
-23.161693,1600,93.118929
9.60001,1600,95.296115
-0.437495,1600,96.436526
25.20106,1600,98.571881
16.343219,1600,100.709521
-2.726764,1600,102.813363
31.124522,1600,103.913792
29.297877,1600,106.141234
28.867292,1600,108.282456
-40.827011,1600,110.386907
25.311148,1600,112.526903
28.075866,1600,113.625143
37.313589,1600,115.800187
25.672186,1600,117.89878
57.264674,1600,120.01238
46.578662,1600,121.158835
58.687151,1600,123.321809
68.143459,1600,125.504918
52.001397,1600,127.639661
58.555573,1600,129.770586
54.09581,1600,130.865958
72.620647,1600,133.039047
81.703836,1600,135.207247
85.940614,1600,137.365818
74.638655,1600,138.514325
87.213814,1600,140.657259
104.907787,1600,142.766639
95.780846,1600,144.851804
85.714825,1600,147.038332
115.473869,1600,148.148277
122.228682,1600,150.297917
-99.267196,74,150.354367
-104.689141,57,150.406909
76.759594,1600,152.555738
132.717963,1600,154.722896
114.43498,1600,156.951309
147.402376,1600,158.107372
-24.976296,1102,159.911592
111.282867,1600,162.088646
-100.82813,63,162.132246
-54.437038,404,162.397986
131.141146,1600,164.511258
-24.090453,804,165.061293
-35.539768,627,165.501838
120.832765,1600,167.680843
137.46238,1600,169.794051
-98.16095,67,169.844117
128.587534,1600,171.996392
133.316692,1600,174.116453
19.914783,1204,174.946104
-18.2135,830,176.576846
13.254304,1038,177.32939
155.860717,1600,179.498276
149.572235,1600,181.643745
129.850652,1600,182.806275
160.530622,1600,184.977376
-117.462103,69,185.023955
184.09689,1600,187.400858
193.240577,1600,189.527383
182.18896,1600,191.678905
-96.002873,179,191.80323
-37.965806,466,192.114507
213.393296,1600,194.228135
-130.245135,124,194.315902
208.558383,1600,195.405443
-4.799011,986,197.250738
-112.413325,46,197.288892
-111.453117,63,197.342355
-7.083211,707,197.893884
-90.208415,148,197.997148
-6.329107,680,199.472465
-109.45944,59,199.52274
-108.567874,44,199.560737
216.845604,1600,201.723004
224.860397,1600,202.839232
121.980511,1570,204.938713
-119.267056,77,204.991651
210.802514,1600,207.141739
-110.345656,45,207.179543
-118.104785,76,207.234864
215.199959,1600,209.436481
214.542455,1600,211.593199
223.30068,1600,212.70369
-111.385792,52,212.740262
220.724192,1600,214.889553
233.368339,1600,217.027617
27.504868,1045,217.739699
238.931321,1600,219.911769
231.97657,1600,222.021485
250.433505,1501,224.15042
244.289948,1600,226.287555
-111.479718,58,226.329995
-110.64538,45,226.362025
245.776722,1566,227.503297
260.918341,1338,229.771852
113.416085,1193,231.79129
-58.140842,310,232.001814
83.485812,1098,232.805059
-17.616606,658,234.289117
67.544997,1162,235.096159
248.057671,1509,237.165464
253.495755,1460,239.263361
254.142252,1448,240.28183
252.747029,1467,242.302673
257.243105,1382,244.275404
249.674983,1479,245.316065
251.875869,1435,247.346818
249.149318,1472,249.482189
253.704993,1424,251.792212
249.067269,1498,252.816262
258.363571,1346,254.778883
254.534512,1392,256.774124
253.656885,1427,257.78147
-101.369689,145,257.883408
260.676408,1303,259.906495
254.8478,1392,261.874646
261.58477,1297,262.789545
27.665099,834,264.368541
252.49476,1386,265.341456
252.073601,1416,267.375119
253.201186,1419,269.46892
258.449379,1363,270.466095
99.302124,1105,272.267608
252.648349,1409,274.268253
-93.766478,105,274.33794
-37.768341,406,274.634386
-75.73382,218,274.784523
241.639455,1559,277.079868
264.02117,1273,278.012425
255.515251,1385,280.107788
-72.91803,205,280.268167
-62.592243,404,280.546607
56.981159,942,282.208565
261.235603,1308,284.119979
261.439495,1283,285.062964
260.283221,1287,286.989405
254.78708,1385,287.932187
252.983168,1383,289.955416
258.76608,1340,291.983026
253.650587,1398,292.96599
255.7356,1371,294.896703
22.523666,826,296.468894
260.410709,1296,297.38292
-108.667111,33,297.414713
259.384296,1304,299.327849
260.59121,1306,300.256716
260.293216,1318,302.290885
256.499616,1334,304.254754
261.414113,1273,305.154361
259.568177,1307,307.084879
259.156782,1323,309.020332
261.557108,1284,309.920461
263.93466,1243,313.740787
262.40322,1242,315.974195
262.994897,1243,319.484794
260.384748,1282,322.711033
261.998064,1241,323.985509
260.053923,1276,326.815436
251.686485,1395,329.84301
260.183736,1287,331.328353
238.66907,1570,334.72281
262.998773,1227,337.367236
263.540491,1225,338.649932
260.46945,1278,341.337803
264.127347,1221,342.591261
-69.445813,248,344.295389
263.831705,1215,345.502348
262.84537,1239,348.120189
252.570892,1391,349.41519
261.078092,1268,352.068937
257.681853,1314,354.684705
258.262198,1327,355.732531
33.040553,728,357.363528
257.371231,1313,358.434539
257.921647,1295,360.593947
263.604736,1210,362.845256
267.322047,1172,363.901192
259.566841,1311,366.217223
262.427383,1248,367.23956
266.393003,1180,369.347807
264.830757,1225,371.414984
267.927265,1168,372.321948
266.826319,1194,374.435711
263.824688,1219,375.368288
258.806172,1306,377.522652
265.225365,1213,379.633188
267.978762,1199,380.574823
271.133372,1135,382.646971
266.901241,1171,383.602486
262.509039,1230,386.076791
265.129892,1211,387.129434
136.293478,1019,389.111995
-40.990811,406,389.450563
261.858137,1253,391.554536
-119.044342,41,391.587767
273.149193,1119,392.443877
267.019708,1190,394.603743
264.905044,1202,395.637556
269.626084,1180,397.778611
271.210743,1155,399.817249
267.131282,1197,400.757664
268.057741,1196,402.778241
268.986681,1190,403.717489
269.211252,1175,405.856733
272.678315,1127,407.837155
-110.378193,70,407.901206
265.212787,1240,408.947993
270.989453,1166,411.050126
152.159819,1222,412.03219
266.912337,1206,414.111924
270.501928,1163,414.984661
264.856182,1246,417.089238
272.863913,1113,419.094843
262.120097,1283,420.097765
-117.113678,51,420.13985
275.133072,1087,422.1796
39.254853,687,422.697469
258.497936,1327,425.050365
273.297491,1135,426.256567
270.403984,1149,428.612429
267.144167,1208,429.591352
272.687162,1149,431.599627
272.768932,1101,433.593765
267.86099,1195,434.498745
273.382814,1137,436.55585
271.822472,1144,437.422538
268.829692,1162,439.438052
270.661058,1129,440.310135
272.050292,1119,442.257448
273.009504,1117,443.096172
272.181835,1110,445.087786
268.846687,1173,447.12412
274.46559,1099,447.935822
268.651764,1194,450.01594
272.664375,1130,450.897717
262.435963,1251,452.933486
273.266584,1122,453.839833
-105.629374,49,453.881678
268.692737,1180,455.900493
-106.093959,50,455.942029
272.585776,1120,458.141121
267.30207,1195,459.088485
269.41165,1155,461.123312
267.395584,1185,461.984756
267.451998,1196,464.017384
268.631217,1185,464.912935
271.845426,1131,466.946248
272.110348,1116,468.986691
268.128419,1207,469.885536
271.22084,1124,471.823342
273.016638,1114,472.691119
266.336203,1201,474.705969
-15.378573,399,475.013172
267.961463,1160,476.954493
-122.00203,81,477.029111
271.633382,1131,478.295324
270.774157,1144,480.32223
267.836982,1194,481.298366
270.5288,1157,483.301337
271.121091,1135,484.21037
129.867658,946,486.14728
271.581838,1120,486.981652
51.065861,730,488.732857
270.232121,1146,489.622376
273.252842,1120,491.57454
268.903558,1173,493.619338
273.413509,1103,494.594761
272.33886,1139,496.555434
267.097617,1214,497.492878
-87.205974,182,497.639298
269.12647,1163,499.723488
272.16714,1111,500.583457
12.116009,541,502.144814
270.939569,1132,502.990735
272.699585,1124,505.010852
266.994178,1207,505.941316
268.203251,1169,507.95116
270.855694,1148,508.915033
271.903402,1112,510.91409
270.176883,1142,512.870882
270.710287,1151,513.803441
268.405379,1174,515.860786
271.158132,1137,516.718787
265.936531,1210,518.742819
275.929182,1082,519.535542
275.188028,1080,521.482397
271.015548,1137,522.414169
271.341437,1128,525.318979
261.418593,1271,528.369613
273.899117,1117,529.586256
273.768912,1135,532.04422
269.262382,1168,533.187693
273.002078,1116,535.668943
268.098044,1173,536.595431
271.693866,1117,538.644245
275.66794,1071,540.713135
274.285666,1085,541.548385
270.466352,1138,543.532855
270.911785,1148,544.437561
271.790175,1121,546.444059
269.600728,1141,547.313318
272.218016,1101,549.294219
270.075259,1129,550.215665
274.81801,1087,552.174689
270.7195,1122,553.000343
273.563161,1092,554.921442
274.773304,1082,555.763123
276.732664,1050,557.676749
272.977362,1094,559.667594
275.040438,1063,560.582312
271.365375,1132,562.647828
273.213333,1106,563.516273
266.24516,1181,565.567864
273.46515,1088,566.508056
272.817607,1111,568.453159
273.485727,1108,569.348038
267.010818,1182,571.804957
69.755549,865,572.510711
270.083621,1135,574.521481
270.79447,1132,575.432997
270.518857,1115,577.377429
269.23562,1149,579.330234
273.211394,1092,580.202681
274.189749,1087,582.249462
273.019252,1096,583.061965
266.486442,1171,585.076612
270.413609,1115,585.972154
270.767027,1118,587.989394
269.959411,1140,588.863274
270.540797,1126,591.054356
271.445225,1109,591.95224
274.856779,1067,593.857582
269.198507,1130,595.842504
269.677538,1132,596.713263
269.289528,1135,598.709064
270.237063,1116,599.565655
270.900515,1111,601.696281
272.20492,1091,602.543459
266.298618,1171,604.555302
269.205523,1126,605.424963
272.804322,1098,607.40202
268.808588,1161,608.321026
274.444431,1071,610.242493
271.571505,1092,612.357872
272.499,1100,613.18455
265.922216,1156,615.14587
268.604982,1139,616.04242
273.161478,1082,618.048907
272.26257,1082,618.877431
271.828797,1112,620.897071
273.349137,1079,621.724425
269.392401,1153,623.805127
270.952094,1113,624.717071
268.737417,1157,626.739415
271.030496,1116,628.677693
272.952913,1074,629.524463
268.41149,1147,631.584625
270.091877,1094,632.438521
270.811578,1111,634.510922
268.95831,1126,635.375135
271.584416,1112,637.233522
269.554815,1125,638.131078
273.768486,1078,640.079162
271.368484,1123,640.946734
268.891606,1157,642.96748
270.190991,1125,644.961415
267.850414,1138,645.863102
270.900006,1106,647.820161
272.274249,1091,648.664464
266.739869,1211,650.677103
270.29648,1137,651.566638
269.507812,1156,653.542866
125.221652,997,654.311273
265.493066,1192,656.274166
273.603811,1105,657.109316
269.066623,1153,659.183682
273.987479,1081,661.161935
272.360165,1100,662.020444
276.271311,1050,664.038277
276.208357,1078,664.891403
271.54604,1124,666.877521
273.044444,1118,667.748928
272.754274,1095,669.648687
269.324804,1155,670.638633
265.680944,1214,673.009093
273.561785,1096,673.908953
271.274933,1123,675.82834
272.335918,1127,677.658417
270.130198,1127,678.480848
272.138884,1111,680.346486
269.690793,1159,681.177922
273.565708,1088,683.030305
275.385479,1084,683.802962
272.629428,1125,685.716038
271.066851,1136,686.961455
274.790168,1108,689.586925
270.969854,1127,690.488895
274.081718,1089,692.733429
271.36126,1143,1300.923053
276.649857,1056,1302.521098
271.751445,1101,3040.66771
268.549211,1159,3043.989068
272.324612,1113,3048.89928
272.815117,1120,3049.886403
266.857252,1177,3052.05833
269.740153,1150,3053.048896
271.088658,1144,3055.289137
276.983077,1051,3056.24855
268.828577,1168,3058.565181
268.540207,1172,3060.420252
276.371813,1070,3061.312505
272.048077,1124,3063.636527
149.88752,1099,3064.434006
270.6369,1125,3066.548934
273.536785,1116,3067.51366
270.416988,1131,3069.587267
272.299468,1099,3070.516778
272.761685,1113,3072.801773
273.361723,1082,3075.350492
267.767986,1175,3076.513663
268.410213,1181,3079.191595
270.607445,1151,3080.359699
272.179954,1116,3082.474126
271.97211,1115,3083.247443
271.510207,1140,3085.644702
276.171538,1080,3086.63054
274.998888,1089,3088.358736
271.968982,1118,3089.111732
271.398879,1124,3090.829039
274.289541,1079,3092.54446
271.939321,1124,3093.293445
270.880322,1130,3095.54656
271.574616,1144,3096.876795
275.775427,1067,3098.595875
273.484151,1110,3099.346253
273.973106,1097,3101.00016
272.055336,1106,3101.689999
273.858499,1095,3103.332578
269.150541,1158,3104.060342
273.809393,1102,3105.671997
273.181195,1109,3107.341572
272.830451,1118,3108.046525
276.224369,1060,3109.888463
274.890241,1073,3110.580796
273.420111,1100,3112.200879
274.885402,1100,3112.8881
274.451855,1091,3114.508475
