#{"t_start": 1766559234.0708675, "env_id": "BipedalWalker-v3"}
r,l,t
-115.984094,107,0.108461
-104.872902,117,0.212821
-105.936861,60,0.327379
-116.091655,1600,2.236576
-112.719024,44,2.283078
-107.651688,86,2.360221
-129.252533,125,3.653296
-118.614409,89,3.724382
-102.209216,112,3.808224
-104.209259,82,3.868741
-119.338135,91,3.943295
-118.081345,60,3.993376
-104.706786,162,4.12012
-129.146246,1600,7.575152
-109.684567,1600,8.745674
-102.855114,60,8.787618
-117.251917,62,8.831635
-119.344189,1600,11.473774
-109.487626,66,11.522694
-152.535395,590,19.960121
-105.255708,71,20.205244
-125.743882,78,20.416299
-108.736138,62,20.543824
-107.981684,56,20.648904
-122.474892,149,20.843002
-109.002451,78,20.948575
-110.024718,129,21.074099
-106.107668,77,21.188737
-110.378973,69,21.255875
-115.392011,63,21.321026
-94.678086,1600,24.465051
-107.431384,46,24.5025
-109.254105,60,24.549659
-107.445935,56,24.588611
-130.928689,143,24.689334
-109.182286,52,24.729906
-100.356649,68,24.775852
-110.746355,153,24.892457
-120.726342,59,24.93261
-120.287699,83,24.998221
-107.544629,59,25.051216
-117.14731,137,25.144932
-96.751691,1600,27.707189
-100.627832,59,27.766257
-124.282652,97,27.874778
-107.196996,1600,30.266831
-170.014541,588,30.720642
-129.69462,156,30.830369
-114.073496,64,30.876369
-125.828075,131,30.967641
-112.265764,63,31.028105
-124.499513,1600,33.289581
-117.414125,90,33.366135
-116.433548,67,33.424188
-121.186064,74,33.475248
-105.834231,69,33.525783
-118.102904,81,33.580783
-133.108401,1600,35.790562
-99.138659,69,35.838075
-118.176807,65,35.889078
-115.249033,53,35.933168
-87.769658,1600,38.213348
-109.383043,64,38.271343
-114.057075,48,38.310865
-113.451908,50,38.343865
-110.092327,49,38.377861
-109.44742,74,38.430045
-119.959526,73,38.482113
-110.723654,88,38.541707
-118.250014,103,38.616237
-117.599748,71,38.670975
-107.160409,57,38.70949
-108.208806,109,38.780493
-111.697604,1600,41.167309
-113.488903,69,41.213869
-85.556345,1600,43.466286
